L1,L2,ID1,ID2
stateAssemblyDistrict,communityDistrict,56,308
stateAssemblyDistrict,communityDistrict,56,309
stateAssemblyDistrict,communityDistrict,56,316
stateAssemblyDistrict,communityDistrict,41,314
stateAssemblyDistrict,communityDistrict,41,315
stateAssemblyDistrict,communityDistrict,41,317
stateAssemblyDistrict,communityDistrict,41,318
stateAssemblyDistrict,communityDistrict,65,101
stateAssemblyDistrict,communityDistrict,65,102
stateAssemblyDistrict,communityDistrict,65,103
stateAssemblyDistrict,communityDistrict,65,302
stateAssemblyDistrict,communityDistrict,65,306
stateAssemblyDistrict,communityDistrict,66,101
stateAssemblyDistrict,communityDistrict,66,102
stateAssemblyDistrict,communityDistrict,66,103
stateAssemblyDistrict,communityDistrict,66,104
stateAssemblyDistrict,communityDistrict,66,105
stateAssemblyDistrict,communityDistrict,66,106
stateAssemblyDistrict,communityDistrict,82,209
stateAssemblyDistrict,communityDistrict,82,210
stateAssemblyDistrict,communityDistrict,82,211
stateAssemblyDistrict,communityDistrict,82,212
stateAssemblyDistrict,communityDistrict,82,228
stateAssemblyDistrict,communityDistrict,53,301
stateAssemblyDistrict,communityDistrict,53,303
stateAssemblyDistrict,communityDistrict,53,304
stateAssemblyDistrict,communityDistrict,53,306
stateAssemblyDistrict,communityDistrict,53,405
stateAssemblyDistrict,communityDistrict,51,306
stateAssemblyDistrict,communityDistrict,51,307
stateAssemblyDistrict,communityDistrict,51,310
stateAssemblyDistrict,communityDistrict,51,312
stateAssemblyDistrict,communityDistrict,68,107
stateAssemblyDistrict,communityDistrict,68,108
stateAssemblyDistrict,communityDistrict,68,110
stateAssemblyDistrict,communityDistrict,68,111
stateAssemblyDistrict,communityDistrict,68,164
stateAssemblyDistrict,communityDistrict,45,311
stateAssemblyDistrict,communityDistrict,45,312
stateAssemblyDistrict,communityDistrict,45,313
stateAssemblyDistrict,communityDistrict,45,314
stateAssemblyDistrict,communityDistrict,45,315
stateAssemblyDistrict,communityDistrict,55,303
stateAssemblyDistrict,communityDistrict,55,304
stateAssemblyDistrict,communityDistrict,55,305
stateAssemblyDistrict,communityDistrict,55,308
stateAssemblyDistrict,communityDistrict,55,309
stateAssemblyDistrict,communityDistrict,55,316
stateAssemblyDistrict,communityDistrict,55,317
stateAssemblyDistrict,communityDistrict,48,311
stateAssemblyDistrict,communityDistrict,48,312
stateAssemblyDistrict,communityDistrict,48,314
stateAssemblyDistrict,communityDistrict,48,315
stateAssemblyDistrict,communityDistrict,87,203
stateAssemblyDistrict,communityDistrict,87,206
stateAssemblyDistrict,communityDistrict,87,209
stateAssemblyDistrict,communityDistrict,87,210
stateAssemblyDistrict,communityDistrict,87,211
stateAssemblyDistrict,communityDistrict,87,227
stateAssemblyDistrict,communityDistrict,80,207
stateAssemblyDistrict,communityDistrict,80,211
stateAssemblyDistrict,communityDistrict,80,212
stateAssemblyDistrict,communityDistrict,80,226
stateAssemblyDistrict,communityDistrict,80,227
stateAssemblyDistrict,communityDistrict,72,110
stateAssemblyDistrict,communityDistrict,72,112
stateAssemblyDistrict,communityDistrict,72,207
stateAssemblyDistrict,communityDistrict,72,208
stateAssemblyDistrict,communityDistrict,81,207
stateAssemblyDistrict,communityDistrict,81,208
stateAssemblyDistrict,communityDistrict,81,212
stateAssemblyDistrict,communityDistrict,81,226
stateAssemblyDistrict,communityDistrict,50,301
stateAssemblyDistrict,communityDistrict,50,302
stateAssemblyDistrict,communityDistrict,50,303
stateAssemblyDistrict,communityDistrict,85,201
stateAssemblyDistrict,communityDistrict,85,202
stateAssemblyDistrict,communityDistrict,85,203
stateAssemblyDistrict,communityDistrict,85,206
stateAssemblyDistrict,communityDistrict,85,209
stateAssemblyDistrict,communityDistrict,85,401
stateAssemblyDistrict,communityDistrict,28,405
stateAssemblyDistrict,communityDistrict,28,406
stateAssemblyDistrict,communityDistrict,28,409
stateAssemblyDistrict,communityDistrict,28,482
stateAssemblyDistrict,communityDistrict,32,408
stateAssemblyDistrict,communityDistrict,32,409
stateAssemblyDistrict,communityDistrict,32,410
stateAssemblyDistrict,communityDistrict,32,412
stateAssemblyDistrict,communityDistrict,42,307
stateAssemblyDistrict,communityDistrict,42,309
stateAssemblyDistrict,communityDistrict,42,312
stateAssemblyDistrict,communityDistrict,42,314
stateAssemblyDistrict,communityDistrict,42,317
stateAssemblyDistrict,communityDistrict,42,318
stateAssemblyDistrict,communityDistrict,42,355
stateAssemblyDistrict,communityDistrict,44,306
stateAssemblyDistrict,communityDistrict,44,307
stateAssemblyDistrict,communityDistrict,44,309
stateAssemblyDistrict,communityDistrict,44,312
stateAssemblyDistrict,communityDistrict,44,314
stateAssemblyDistrict,communityDistrict,44,355
stateAssemblyDistrict,communityDistrict,64,310
stateAssemblyDistrict,communityDistrict,64,501
stateAssemblyDistrict,communityDistrict,64,502
stateAssemblyDistrict,communityDistrict,64,503
stateAssemblyDistrict,communityDistrict,64,595
stateAssemblyDistrict,communityDistrict,40,407
stateAssemblyDistrict,communityDistrict,40,481
stateAssemblyDistrict,communityDistrict,57,302
stateAssemblyDistrict,communityDistrict,57,303
stateAssemblyDistrict,communityDistrict,57,306
stateAssemblyDistrict,communityDistrict,57,308
stateAssemblyDistrict,communityDistrict,57,309
stateAssemblyDistrict,communityDistrict,57,355
stateAssemblyDistrict,communityDistrict,25,407
stateAssemblyDistrict,communityDistrict,25,408
stateAssemblyDistrict,communityDistrict,25,411
stateAssemblyDistrict,communityDistrict,25,481
stateAssemblyDistrict,communityDistrict,27,406
stateAssemblyDistrict,communityDistrict,27,407
stateAssemblyDistrict,communityDistrict,27,408
stateAssemblyDistrict,communityDistrict,27,409
stateAssemblyDistrict,communityDistrict,27,412
stateAssemblyDistrict,communityDistrict,27,480
stateAssemblyDistrict,communityDistrict,27,481
stateAssemblyDistrict,communityDistrict,35,401
stateAssemblyDistrict,communityDistrict,35,403
stateAssemblyDistrict,communityDistrict,35,404
stateAssemblyDistrict,communityDistrict,35,406
stateAssemblyDistrict,communityDistrict,35,407
stateAssemblyDistrict,communityDistrict,35,480
stateAssemblyDistrict,communityDistrict,35,481
stateAssemblyDistrict,communityDistrict,62,502
stateAssemblyDistrict,communityDistrict,62,503
stateAssemblyDistrict,communityDistrict,33,408
stateAssemblyDistrict,communityDistrict,33,411
stateAssemblyDistrict,communityDistrict,33,412
stateAssemblyDistrict,communityDistrict,33,413
stateAssemblyDistrict,communityDistrict,36,401
stateAssemblyDistrict,communityDistrict,36,403
stateAssemblyDistrict,communityDistrict,36,480
stateAssemblyDistrict,communityDistrict,49,307
stateAssemblyDistrict,communityDistrict,49,310
stateAssemblyDistrict,communityDistrict,49,311
stateAssemblyDistrict,communityDistrict,49,312
stateAssemblyDistrict,communityDistrict,26,407
stateAssemblyDistrict,communityDistrict,26,411
stateAssemblyDistrict,communityDistrict,26,413
stateAssemblyDistrict,communityDistrict,73,105
stateAssemblyDistrict,communityDistrict,73,106
stateAssemblyDistrict,communityDistrict,73,108
stateAssemblyDistrict,communityDistrict,73,164
stateAssemblyDistrict,communityDistrict,59,315
stateAssemblyDistrict,communityDistrict,59,318
stateAssemblyDistrict,communityDistrict,59,356
stateAssemblyDistrict,communityDistrict,59,484
stateAssemblyDistrict,communityDistrict,34,401
stateAssemblyDistrict,communityDistrict,34,402
stateAssemblyDistrict,communityDistrict,34,403
stateAssemblyDistrict,communityDistrict,34,404
stateAssemblyDistrict,communityDistrict,34,405
stateAssemblyDistrict,communityDistrict,39,402
stateAssemblyDistrict,communityDistrict,39,403
stateAssemblyDistrict,communityDistrict,39,404
stateAssemblyDistrict,communityDistrict,39,481
stateAssemblyDistrict,communityDistrict,46,310
stateAssemblyDistrict,communityDistrict,46,311
stateAssemblyDistrict,communityDistrict,46,313
stateAssemblyDistrict,communityDistrict,46,315
stateAssemblyDistrict,communityDistrict,47,310
stateAssemblyDistrict,communityDistrict,47,311
stateAssemblyDistrict,communityDistrict,47,312
stateAssemblyDistrict,communityDistrict,47,313
stateAssemblyDistrict,communityDistrict,47,315
stateAssemblyDistrict,communityDistrict,69,107
stateAssemblyDistrict,communityDistrict,69,108
stateAssemblyDistrict,communityDistrict,69,109
stateAssemblyDistrict,communityDistrict,69,110
stateAssemblyDistrict,communityDistrict,69,164
stateAssemblyDistrict,communityDistrict,79,201
stateAssemblyDistrict,communityDistrict,79,202
stateAssemblyDistrict,communityDistrict,79,203
stateAssemblyDistrict,communityDistrict,79,204
stateAssemblyDistrict,communityDistrict,79,206
stateAssemblyDistrict,communityDistrict,84,201
stateAssemblyDistrict,communityDistrict,84,202
stateAssemblyDistrict,communityDistrict,84,204
stateAssemblyDistrict,communityDistrict,78,205
stateAssemblyDistrict,communityDistrict,78,206
stateAssemblyDistrict,communityDistrict,78,207
stateAssemblyDistrict,communityDistrict,78,208
stateAssemblyDistrict,communityDistrict,78,211
stateAssemblyDistrict,communityDistrict,78,227
stateAssemblyDistrict,communityDistrict,86,203
stateAssemblyDistrict,communityDistrict,86,204
stateAssemblyDistrict,communityDistrict,86,205
stateAssemblyDistrict,communityDistrict,86,206
stateAssemblyDistrict,communityDistrict,86,207
stateAssemblyDistrict,communityDistrict,86,208
stateAssemblyDistrict,communityDistrict,31,410
stateAssemblyDistrict,communityDistrict,31,412
stateAssemblyDistrict,communityDistrict,31,413
stateAssemblyDistrict,communityDistrict,31,414
stateAssemblyDistrict,communityDistrict,31,483
stateAssemblyDistrict,communityDistrict,31,484
stateAssemblyDistrict,communityDistrict,24,408
stateAssemblyDistrict,communityDistrict,24,409
stateAssemblyDistrict,communityDistrict,24,410
stateAssemblyDistrict,communityDistrict,24,411
stateAssemblyDistrict,communityDistrict,24,412
stateAssemblyDistrict,communityDistrict,24,413
stateAssemblyDistrict,communityDistrict,29,408
stateAssemblyDistrict,communityDistrict,29,412
stateAssemblyDistrict,communityDistrict,29,413
stateAssemblyDistrict,communityDistrict,77,201
stateAssemblyDistrict,communityDistrict,77,203
stateAssemblyDistrict,communityDistrict,77,204
stateAssemblyDistrict,communityDistrict,77,205
stateAssemblyDistrict,communityDistrict,61,501
stateAssemblyDistrict,communityDistrict,30,401
stateAssemblyDistrict,communityDistrict,30,402
stateAssemblyDistrict,communityDistrict,30,404
stateAssemblyDistrict,communityDistrict,30,405
stateAssemblyDistrict,communityDistrict,30,406
stateAssemblyDistrict,communityDistrict,37,106
stateAssemblyDistrict,communityDistrict,37,301
stateAssemblyDistrict,communityDistrict,37,304
stateAssemblyDistrict,communityDistrict,37,401
stateAssemblyDistrict,communityDistrict,37,402
stateAssemblyDistrict,communityDistrict,37,405
stateAssemblyDistrict,communityDistrict,23,305
stateAssemblyDistrict,communityDistrict,23,356
